source,geo_or_category,trend_status,rank,title,metric,pub_age_minutes,published_at,related_context,url,fetched_at
google_news,CA (Politics),NEW_PAST_HOUR,6,Montreal city council passes amended motion expressing solidarity with Palestinian people - The Globe and Mail,Source: The Globe and Mail,860m,2026-08-24T18:40:30.000Z,"Published: Mon, 24 Aug 2026 18:40:30 GMT",https://news.google.com/rss/articles/CBMilgFBVV95cUxPWktVTlRsYTZFekNta3pTTVdkakhGcUZKTGJLOVRsZUpyb1FtSk9ad25pUnlMWmN3ckFwdEVvb0FoNTcxQUJOM1V1N2Z5emRmRFdmVjhieWFTdlZDVkNTajZCSURIdUZsZGc0a1BoejVoYWRETHVBM2wwRFZjb2RhdTMwVjF1YnRKRjI0aWUxbmdoeUJfZWc?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,7,‘Honest leaders are the first step to a better future’: Cockroach hunger striker targets India’s political class - The Guardian,Source: The Guardian,540m,2026-08-25T00:00:00.000Z,"Published: Tue, 25 Aug 2026 00:00:00 GMT",https://news.google.com/rss/articles/CBMilwFBVV95cUxPSTJ0YmpacEdJbkFpb0xnRmt1ZXlrNGF2OUdHdE5BamE3WjVYSVk0UlBLVlZNY3U3UWxfTS0zd19wUmxzMjN1Q0FGRUxCdW1sTEJPVE1KTDdoNTktbzBaRGRMbkFxelV4RjMwcDRGa29HTzVJR2hKOExBZllZUktIY2hiZXFOX2ZFRkx4dXNVd3JKZWVKYWJ3?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,8,`I inherited 100 suburbs in search of the city´ - Politico,Source: Politico,855m,2026-08-24T18:45:00.000Z,"Published: Mon, 24 Aug 2026 18:45:00 GMT",https://news.google.com/rss/articles/CBMimwFBVV95cUxPWjNlRDdzekVydzcwUkMtNEs2QmdCTUZhNDIxZnJoWUhweFlaZ2JoVzNHcnpXSVA3VVExR2o5bmprYXgxX0V0a3QwM1daT1ZsMV85RnByZk03eEhmYm1CWWJjdHo2QWJIcGxkdmowYTl4Z1ZyV2d0aTF3M1lRQ2Z3bjdlcmo3bWkzX2NRYjNPcnhlbVg3bVQxOGwtMA?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,9,"Ex-council boss had incentive to delete emails over perception she 'was too close to DUP,' court told - BBC",Source: BBC,1008m,2026-08-24T16:11:43.000Z,"Published: Mon, 24 Aug 2026 16:11:43 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5Xb3hzdGdXSjJqb0F0UzFrMkYxVTdaOUs2V0x1Q0ZHeGVrcFZnNFFKWG5peXBGQXBTUExtdzJTSjFqVHhLekZ4MHFpNWJFcElBNy1LaWtkZmdrdw?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,10,Japanese lawmakers visit China to patch up ties - The Japan Times,Source: The Japan Times,1446m,2026-08-24T08:54:00.000Z,"Published: Mon, 24 Aug 2026 08:54:00 GMT",https://news.google.com/rss/articles/CBMikgFBVV95cUxPcXJXdGRsYjZwYnROcWFDU1otSEZNYlRRUlVDcGFra3gxOVZTQXpYRmR0cGtzVHA5ZlF5S3RHUFlxdWtvc1F1M0Jyb3hpWmNscVZnU0ZGQmN0MzFmUXIxQWh1YkotQ0dxT19WR0JnaXZFT1UxZ2dFMkZ2dnc5OFhBN0g1aXBRNnZxZEZUQlBTNlhfdw?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,11,"'Full steam ahead on legacy bill', NI secretary says - BBC",Source: BBC,1210m,2026-08-24T12:50:07.000Z,"Published: Mon, 24 Aug 2026 12:50:07 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9yWWxLaHpQLWJBNDZEdUUyenhlX2p3Qmsyel9DQmN5ZVRuM3E0VllwZ2RPSjdQUm1tWGc2MW13WktBNnhSMEl6eG40UVhrc3VWN1NLbG1GbnB5QQ?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,12,I Went to the White House Brawl and Watched the Manosphere Go Limp - GQ,Source: GQ,1260m,2026-08-24T12:00:00.000Z,"Published: Mon, 24 Aug 2026 12:00:00 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE1IUjN6VF96N05FQmtNWmxTT0dnaGFGNnFwemIzVmZjT1ZMZVVzRUVOTUkwYUpBTjY4N0p2Z2xVblhmdHhiVkRlU211M0twZjY2VjNxRFRxUkxRSzQ?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,13,India’s ‘Cockroach’ Group Plans March in September Over Unmet Demands - Bloomberg,Source: Bloomberg,1117m,2026-08-24T14:23:04.000Z,"Published: Mon, 24 Aug 2026 14:23:04 GMT",https://news.google.com/rss/articles/CBMiugFBVV95cUxPU3FOZHJ4Y18xY2N5dTJBZG5Ebjh3U0Rfa2VGXzRxeTYzc0xXeTNaVlF2bk9XYUZKX1FFaVhVNnp6NkRsWDhRY0gyX2tnZjR3M2gwY2VTWkZxeTVzUE8yNmFQd0t1VlpVR20zbTRURFMzTUQ3Y3ppNDhEaFdKazQxU0o5Q1FydXFsdVhSZEFJQ0xZTVpPVXVQajJQYnlXblQ4Q1lrRkFYVWRVdjR0SG1MWFZjNzdCZ1YyLUE?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,14,Scottish government minister Ben Macpherson resigns - BBC,Source: BBC,1135m,2026-08-24T14:05:18.000Z,"Published: Mon, 24 Aug 2026 14:05:18 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9fYldVQzZlMXNzSl94dFRmRlBaVXlSWlhXMXVIVHNSeEdhajZSVFlCZm1USzVteXZYTV9NdHVnSkN2bDZWbEZidE9JeHk4bjlHX2NCazlmd2tOZw?oc=5,2026-08-25T09:00:05.740Z
google_news,CA (Politics),NEW_PAST_HOUR,15,Eby’s absence at trade briefing exposes gaps in Canada’s communications infrastructure - The Globe and Mail,Source: The Globe and Mail,1470m,2026-08-24T08:30:00.000Z,"Published: Mon, 24 Aug 2026 08:30:00 GMT",https://news.google.com/rss/articles/CBMirgFBVV95cUxOamtiUUVrSWRPaGh3cWlqajRSV2c1dUFuMm1EYmZ5TV8tUHI0YVZzQ1ZuTXRTc0dCWjFWWDBVLWVYUFFwVDRPVUxvc1BpYzFQNml0UDRnY1lqSlhxUkcwYnJNblBaSk9GTWtWRlRsY3l0c1VTZUNDZnRWMTVoZ1RYTVZZODB0VlhEVXFYVnNmOE1fcTI3MWNjQ29YYlU4dDZ5S1NWSEdnbHotMnhWU2c?oc=5,2026-08-25T09:00:05.740Z
